Japanese,English
のります [でんしゃ に],"ride,get on[a [train]"
おります [でんしゃ を],get off[a [train]
のりかえます,change[train etc.]
あびます [シャワ- を],take[a shower]
いれます,"put in,insert"
だします,"take out,hand in,send"
おろします [おかね を],withdraw
はいります [だいがく に],enter [university]
でます [だいがく に],graduate from[university]
おします,"push,press"
のみます,"drink, alcohol"
はじめます,"start, begin"
けんがくします,"tour, visit a place to study"
でんわします,phone
かわい,young
ながい,long
みじかい,short
あかるい,"bright, light"
くらい,dark
からだ,"body, health"
あたま,"head, brain"
かみ,hair
かお,face
め,eye
みみ,ear
はな,nose
くち,mouth
は,tooth
おなか,stomach
あし,"leg,foot"
せ,height
みどり,"greenery, green"
おてら,Buddhist temple
じんじゃ,Shinto shrine
どうやって,In which way
どの,Which ~
どれ,which one (more then 3)
まだまだです,I still have a long way to go
おひきだしですか,Are you making a withdrawal
まず,First of all
きんがく,Amount of money
かくにん,Confirmation
