Japanese,English
います [こども が-],have [a child]
います [にほん に],"stay, be (in Japan)"
かかります,take (referring to time or money)
やすみます [かいしゃを~],take a day off[work]
ひとつ,One (used when counting things)
ふたつ,two
みっつ,three
よっつ,four
いつつ,five
むっつ,six
ななつ,seven
やっつ,eight
ここのつ,nine
とお,ten
いくつ,how many
ひとり,one person
ふたり,"(counter for machines, cars, etc.)"
～にん,-people
～だい,"(counter for paper, stamp, postcard,　etc.)"
-まい,"(counter for paper, stamp, postcard, etc.)"
～かい,-times
りんご,apple
みかん,mandarin orange
き って,postage stamp
はがき,post card
ふうとう,envelop
りょうしん,parents
きょうだい,brothers and sisters
あに,my elder brother
おにいさん,(someone else’s) elder brother
あね,my elder sister
おねえさん,(someone else’s) elder sister
おとうと,my younger brother
おとうとさん,(someone else’s) younger brother
いもうと,my younger sister
いもうとさん,(someone else’s) younger sister
がいこく,foreign country
りゅうがくせい,foreign student
～じかん,-hour(s)
～しゅうかん,-week(s)
～かげつ,-months(s)
ぐらい,about
どのくらい,how long
ぜんぶで,in total
みんな,"all, everything, everyone"
だけ,only
