Japanese,English
ビザ が いります,"need, require [a visa]"
しらべます,"check, investigate"
しゅうりします,repair
ぼく,I (informal)
きみ,You (informal)
くん,Mr.(boy's name)(informal)
うん,Yes (informal)
ううん,No (informal)
ことば,"word, language"
きもの,kimono
ビザ,visa
はじめ,the beginning
おわり,"the end of,The End"
こっち,this way (informal)
そっち,that way (informal)
あっち,that way (informal)
どっち,which one (informal)
みんなで,all together
けど,but (informal of が)
おなかが いっぱい です,I'm full
よかったら,if you like
いろ いろ,various
