Japanese,English
かんたん,"easy, simple"
ちかい,near
とおい,far
はやい,"fast,early"
おそい,"slow,late"
おおい [ひと が-],"many [people], much"
すくない [ひと が-],"few [people], a little"
あたたかい,warm
すずしい,cool
あまい,sweet
からい,"hot (taste),spicy"
おもい,heavy
かるい,light
いい [コ-ヒ- が-],prefer (coffee)
きせつ,season
はる,spring
なつ,summer
あき,"autumn, fall"
ふゆ,winter
てんき,weather
あめ,"rain,rainy"
ゆき,"snow,snowy"
くもり,cloudy
くうこう,airport
うみ,"sea, ocean"
せかい,world
[お]まつり を します,party festival
ぶたにく,pork
とりにく,chicken
ぎゅうにく,beef
レモン,lemon
いけばな を します,flower arrangement
もみじ,"maple, red leaves of autumn"
どちら,which one(of two things)
どちらも,both
いちばん,the most
ずっと,by far
はじめて,for the first time
